"NAME","GENDER","ORIGIN","ETYMOLOGY","NOTES","CITATION","LINK","AREA","EARLIEST","LATEST","MENTIONS","SIXTH","SEVENTH","EIGHTH","NINTH","TENTH","ELEVENTH","TWELFTH","THIRTEENTH","FOURTEENTH","FIFTEENTH","SIXTEENTH","MEANING","FIRST_LETTER","LENGTH","TOTAL_MENTIONS"
"Aaron","male","Hebrew","Hebrew אהרן, of uncertain origin.","The name of the Biblical brother of Moses, a 4th C British saint, and a 6th C saint. Wycliffite Bible (1395): Aaron. Geneva Bible (1560): Arón, Aráhon. Sagrados Escrituras (1569): Aarón.","R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Aaron"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Aaron.","http://dmnes.org/name/Aaron","England",1185,1599,14,0,0,0,0,0,0,1,0,0,0,13,NA,"A",5,24
"Aaron","male","Hebrew","Hebrew אהרן, of uncertain origin.","The name of the Biblical brother of Moses, a 4th C British saint, and a 6th C saint. Wycliffite Bible (1395): Aaron. Geneva Bible (1560): Arón, Aráhon. Sagrados Escrituras (1569): Aarón.","R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Aaron"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Aaron.","http://dmnes.org/name/Aaron","France",1563,1563,1,0,0,0,0,0,0,0,0,0,0,1,NA,"A",5,24
"Aaron","male","Hebrew","Hebrew אהרן, of uncertain origin.","The name of the Biblical brother of Moses, a 4th C British saint, and a 6th C saint. Wycliffite Bible (1395): Aaron. Geneva Bible (1560): Arón, Aráhon. Sagrados Escrituras (1569): Aarón.","R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Aaron"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Aaron.","http://dmnes.org/name/Aaron","Hungary",1229,1332,4,0,0,0,0,0,0,0,3,1,0,0,NA,"A",5,24
"Aaron","male","Hebrew","Hebrew אהרן, of uncertain origin.","The name of the Biblical brother of Moses, a 4th C British saint, and a 6th C saint. Wycliffite Bible (1395): Aaron. Geneva Bible (1560): Arón, Aráhon. Sagrados Escrituras (1569): Aarón.","R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Aaron"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Aaron.","http://dmnes.org/name/Aaron","Italy",1464,1527,2,0,0,0,0,0,0,0,0,0,1,1,NA,"A",5,24
"Aaron","male","Hebrew","Hebrew אהרן, of uncertain origin.","The name of the Biblical brother of Moses, a 4th C British saint, and a 6th C saint. Wycliffite Bible (1395): Aaron. Geneva Bible (1560): Arón, Aráhon. Sagrados Escrituras (1569): Aarón.","R. Le Get, M. Slíz, J. Uckelman, S.L. Uckelman. ""Aaron"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Aaron.","http://dmnes.org/name/Aaron","Wales",1452,1455,3,0,0,0,0,0,0,0,0,0,3,0,NA,"A",5,24
"Abba","female",NA,"Fem. of Abbo.",NA,"S.L. Uckelman. ""Abba"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abba.","http://dmnes.org/name/Abba","France",1147,1147,1,0,0,0,0,0,0,1,0,0,0,0,NA,"A",4,1
"Abbo","male","Proto-Germanic","Proto-Germanic *abô 'husband, man' or a pet form of any of various names beginning with Old High German alb 'elf', such as Alberich.","The name of a 10th C French saint.","S.L. Uckelman. ""Abbo"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abbo.","http://dmnes.org/name/Abbo","France",780,1174,5,0,0,1,0,1,2,1,0,0,0,0,"'husband, man' 'elf'","A",4,9
"Abbo","male","Proto-Germanic","Proto-Germanic *abô 'husband, man' or a pet form of any of various names beginning with Old High German alb 'elf', such as Alberich.","The name of a 10th C French saint.","S.L. Uckelman. ""Abbo"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abbo.","http://dmnes.org/name/Abbo","Germany",963,963,1,0,0,0,0,1,0,0,0,0,0,0,"'husband, man' 'elf'","A",4,9
"Abbo","male","Proto-Germanic","Proto-Germanic *abô 'husband, man' or a pet form of any of various names beginning with Old High German alb 'elf', such as Alberich.","The name of a 10th C French saint.","S.L. Uckelman. ""Abbo"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abbo.","http://dmnes.org/name/Abbo","The Netherlands",834,834,1,0,0,0,1,0,0,0,0,0,0,0,"'husband, man' 'elf'","A",4,9
"Abbo","male","Proto-Germanic","Proto-Germanic *abô 'husband, man' or a pet form of any of various names beginning with Old High German alb 'elf', such as Alberich.","The name of a 10th C French saint.","S.L. Uckelman. ""Abbo"". In S.L. Uckelman, ed. The Dictionary of Medieval Names from European Sources, Edition 2019, no. 1. http://dmnes.org/2019/1/name/Abbo.","http://dmnes.org/name/Abbo","Spain",1010,1012,2,0,0,0,0,0,2,0,0,0,0,0,"'husband, man' 'elf'","A",4,9
